Fecha,Emisora,Serie,Precio
20161216,ALTERNA,M-2,3.451797
20161216,ALTERNA,M-3,3.627354
20161230,ACTI500,A,4.584352
20161230,ACTI500,B1,3.473738
20161230,ACTI500,B2,3.762451
20161230,ACTI500,B3,3.899159
20161230,ACTI500,D,4.417945
20161230,ACTINEM,A,192.076793
20161230,ACTINEM,B,170.865919
20161230,ACTINEM,FF,192.076769
20161230,ACTINMO,A,41.645237
20161230,ACTINMO,B,36.991737
20161230,ACTINMO,D,37.238784
20161230,ACTINMO,FF,41.64523
20161230,ACTINMO,I,41.239981
20161230,ACTIUS,A,3.1448
20161230,ACTIUS,B,2.777575
20161230,ACTIVAR,A,93.716686
20161230,ACTIVAR,B,82.772287
20161230,MAYA,A,40.227659
20161230,MAYA,B1,31.152573
20161230,MAYA,B2,32.576839
20161230,MAYA,B3,34.068404
20161230,MAYA,D,33.370564
20161230,MAYA,FF,40.227644
20170103,ACTICOB,A,28.004082
20170103,ACTICOB,B-1,25.922042
20170103,ACTICOB,B-2,26.508841
20170103,ACTICOB,B-3,27.151231
20170103,ACTICOB,E,28.366437
20170103,ACTICOB,F-1,27.169257
20170103,ACTICOB,F-2,27.442414
20170103,ACTICOB,F-3,27.680729
20170103,ACTICOB,FF,28.02261
20170103,ACTICOB,M-1,26.438628
20170103,ACTICOB,M-2,26.891908
20170103,ACTICOB,M-3,27.211857
20170103,ACTIGOB,A,4.574144
20170103,ACTIGOB,B-1,3.810258
20170103,ACTIGOB,B-2,3.994667
20170103,ACTIGOB,B-3,4.090515
20170103,ACTIGOB,E,4.6068
20170103,ACTIGOB,F-1,4.198339
20170103,ACTIGOB,FF,4.57414
20170103,ACTIGOB,GE,4.731666
20170103,ACTIGOB,M-1,4.200864
20170103,ACTIGOB,M-2,4.261159
20170103,ACTIGOB,M-3,4.322358
20170103,ACTIMED,A,4.768959
20170103,ACTIMED,B-1,4.097863
20170103,ACTIMED,B-2,4.429017
20170103,ACTIMED,B-3,4.543114
20170103,ACTIMED,D,4.527965
20170103,ACTIMED,E,4.77714
20170103,ACTIMED,F-1,4.440505
20170103,ACTIMED,F-2,4.619384
20170103,ACTIMED,F-3,4.661826
20170103,ACTIMED,FF,4.766753
20170103,ACTIMED,M-1,4.275841
20170103,ACTIMED,M-2,4.493654
20170103,ACTIMED,M-3,4.550709
20170103,ACTIREN,A,9.115956
20170103,ACTIREN,B-1,7.21279
20170103,ACTIREN,B-2,7.504823
20170103,ACTIREN,B-3,7.703212
20170103,ACTIREN,E,8.387747
20170103,ACTIREN,F-1,7.766807
20170103,ACTIREN,F-2,7.843713
20170103,ACTIREN,F-3,8.026689
20170103,ACTIREN,FF,9.179657
20170103,ACTIREN,M-1,7.817931
20170103,ACTIREN,M-2,7.873486
20170103,ACTIREN,M-3,7.921462
20170103,ALTERNA,A,4.002192
20170103,ALTERNA,B-1,3.098918
20170103,ALTERNA,B-2,3.355833
20170103,ALTERNA,B-3,3.590085
20170103,ALTERNA,D,3.617634
20170103,ALTERNA,E,3.661759
20170103,ALTERNA,F-1,3.614529
20170103,ALTERNA,FF,4.016965
20170103,ALTERNA,M-1,3.284973
20170103,ALTERNA,M-2,3.459771
20170103,ALTERNA,M-3,3.636816
20170103,ACTI500,A,4.579426
20170103,ACTI500,B1,3.468904
20170103,ACTI500,B2,3.757526
20170103,ACTI500,B3,3.894227
20170103,ACTI500,D,4.412257
20170103,ACTINEM,A,191.667167
20170103,ACTINEM,B,170.447297
20170103,ACTINEM,FF,191.667144
20170103,ACTINMO,A,42.09349
20170103,ACTINMO,B,37.377323
20170103,ACTINMO,D,37.627662
20170103,ACTINMO,FF,42.093483
20170103,ACTINMO,I,41.681226
20170103,ACTIUS,A,3.143464
20170103,ACTIUS,B,2.775866
20170103,ACTIVAR,A,93.273349
20170103,ACTIVAR,B,82.365018
20170103,MAYA,A,40.20887
20170103,MAYA,B1,31.127928
20170103,MAYA,B2,32.551276
20170103,MAYA,B3,34.04189
20170103,MAYA,D,33.344804
20170103,MAYA,FF,40.208855
20170113,ACTI500,A,4.855251
20170113,ACTI500,B1,3.674919
20170113,ACTI500,B2,3.981505
20170113,ACTI500,B3,4.126814
20170113,ACTI500,D,4.675516
20170113,ACTINEM,A,209.114045
20170113,ACTINEM,B,185.81454
20170113,ACTINEM,FF,209.114022
20170113,ACTINMO,A,39.955587
20170113,ACTINMO,B,35.44908
20170113,ACTINMO,D,35.688206
20170113,ACTINMO,FF,39.955581
20170113,ACTINMO,I,39.557975
20170113,ACTIUS,A,3.330508
20170113,ACTIUS,B,2.939635
20170113,ACTIVAR,A,93.998429
20170113,ACTIVAR,B,82.965685
20170113,MAYA,A,39.725035
20170113,MAYA,B1,30.728409
20170113,MAYA,B2,32.134008
20170113,MAYA,B3,33.606057
20170113,MAYA,D,32.918414
20170113,MAYA,FF,39.725021
20170120,ACTICOB,A,29.601136
20170120,ACTICOB,B-1,27.386511
20170120,ACTICOB,B-2,28.008135
20170120,ACTICOB,B-3,28.688579
20170120,ACTICOB,E,29.97998
20170120,ACTICOB,F-1,28.711128
20170120,ACTICOB,F-2,29.001359
20170120,ACTICOB,F-3,29.254797
20170120,ACTICOB,FF,29.620726
20170120,ACTICOB,M-1,27.933932
20170120,ACTICOB,M-2,28.414505
20170120,ACTICOB,M-3,28.754207
20170120,ACTIGOB,A,4.583796
20170120,ACTIGOB,B-1,3.814796
20170120,ACTIGOB,B-2,3.999699
20170120,ACTIGOB,B-3,4.095919
20170120,ACTIGOB,E,4.615747
20170120,ACTIGOB,F-1,4.204727
20170120,ACTIGOB,FF,4.583792
20170120,ACTIGOB,GE,4.742137
20170120,ACTIGOB,M-1,4.207355
20170120,ACTIGOB,M-2,4.267992
20170120,ACTIGOB,M-3,4.32954
20170120,ACTIMED,A,4.781685
20170120,ACTIMED,B-1,4.104886
20170120,ACTIMED,B-2,4.438043
20170120,ACTIMED,B-3,4.552669
20170120,ACTIMED,D,4.537717
20170120,ACTIMED,E,4.788705
20170120,ACTIMED,F-1,4.449271
20170120,ACTIMED,F-2,4.629897
20170120,ACTIMED,F-3,4.672691
20170120,ACTIMED,FF,4.779207
20170120,ACTIMED,M-1,4.283723
