BP_Único_y/o_Repetido,CLAVE_CLIENTE,CATEGORIA_PRODUCTO,DETALLE_PRODUCTO,POSICION_CUENTA_FECHA_TRANS
Repetido,92013119,FONDOS DE DEUDA,"ACTIMED, S.A. DE C.V SOC DE INV EN INSTR DE DEUDA"," 21,775 "
Repetido,92013150,FONDOS DE DEUDA,"ALTERNA, S.A. DE C.V. SOCIEDAD DE INVERSION EN INSTRUMENTOS DE DEUDA"," 5,190 "
Repetido,92013150,FONDOS DE DEUDA,"ACTIMED, S.A. DE C.V SOC DE INV EN INSTR DE DEUDA"," 141,951 "
Repetido,92013242,FONDOS DE DEUDA,"ALTERNA, S.A. DE C.V. SOCIEDAD DE INVERSION EN INSTRUMENTOS DE DEUDA"," 456,232 "
Repetido,92013242,FONDOS DE DEUDA,"ACTIMED, S.A. DE C.V SOC DE INV EN INSTR DE DEUDA"," 23,621 "
Repetido,92013259,FONDOS DE DEUDA,"ACTIRENT, S.A. DE C.V. SOC INV DE INSTR DE DEUDA"," 3,685 "
Repetido,92013408,FONDOS DE DEUDA,"ACTIRENT, S.A. DE C.V. SOC INV DE INSTR DE DEUDA", 25 
Repetido,92013408,FONDOS DE DEUDA,"ACTIMED, S.A. DE C.V SOC DE INV EN INSTR DE DEUDA"," 241,417 "
Repetido,92013606,FONDOS DE DEUDA,"ACTIMED, S.A. DE C.V SOC DE INV EN INSTR DE DEUDA"," 367,171 "
Repetido,92013739,FONDOS DE DEUDA,"ACTIMED, S.A. DE C.V SOC DE INV EN INSTR DE DEUDA"," 22,856 "
Repetido,92014257,FONDOS DE DEUDA,"ALTERNA, S.A. DE C.V. SOCIEDAD DE INVERSION EN INSTRUMENTOS DE DEUDA"," 413,832 "
Repetido,92014281,FONDOS DE DEUDA,"ACTIMED, S.A. DE C.V SOC DE INV EN INSTR DE DEUDA"," 357,227 "
Único,92014307,RENTA VARIABLE,"FONDO MAYA,S.A DE C.V.,SOC. DE INV. DE RENTA VARIABLE"," 88,768 "
Repetido,92014331,FONDOS DE DEUDA,"ACTIRENT, S.A. DE C.V. SOC INV DE INSTR DE DEUDA"," 65,584 "
Repetido,92014513,FONDOS DE DEUDA,"ACTIMED, S.A. DE C.V SOC DE INV EN INSTR DE DEUDA"," 232,735 "
Repetido,92014539,FONDOS DE DEUDA,"ACTIMED, S.A. DE C.V SOC DE INV EN INSTR DE DEUDA"," 164,558 "
Repetido,92014596,FONDOS DE DEUDA,"ALTERNA, S.A. DE C.V. SOCIEDAD DE INVERSION EN INSTRUMENTOS DE DEUDA"," 61,823 "
Repetido,92015072,FONDOS DE DEUDA,"ACTIMED, S.A. DE C.V SOC DE INV EN INSTR DE DEUDA"," 29,318 "
Repetido,92015403,FONDOS DE DEUDA,"ALTERNA, S.A. DE C.V. SOCIEDAD DE INVERSION EN INSTRUMENTOS DE DEUDA"," 192,548 "
Repetido,92015619,FONDOS DE DEUDA,"ACTIRENT, S.A. DE C.V. SOC INV DE INSTR DE DEUDA"," 1,104 "
Repetido,92015627,FONDOS DE DEUDA,"ACTIMED, S.A. DE C.V SOC DE INV EN INSTR DE DEUDA"," 115,883 "
Repetido,92015825,FONDOS DE DEUDA,"ACTIRENT, S.A. DE C.V. SOC INV DE INSTR DE DEUDA"," 2,649 "
Repetido,92016039,FONDOS DE DEUDA,"ACTIMED, S.A. DE C.V SOC DE INV EN INSTR DE DEUDA"," 58,851 "
Repetido,92016229,FONDOS DE DEUDA,"ACTIRENT, S.A. DE C.V. SOC INV DE INSTR DE DEUDA"," 19,359 "
Repetido,92016252,FONDOS DE DEUDA,"ACTIMED, S.A. DE C.V SOC DE INV EN INSTR DE DEUDA"," 57,322 "
Repetido,92016450,FONDOS DE DEUDA,"ACTIMED, S.A. DE C.V SOC DE INV EN INSTR DE DEUDA"," 228,913 "
Repetido,92017292,FONDOS DE DEUDA,"ACTIMED, S.A. DE C.V SOC DE INV EN INSTR DE DEUDA"," 14,061 "
Repetido,92017599,FONDOS DE DEUDA,"ACTIMED, S.A. DE C.V SOC DE INV EN INSTR DE DEUDA"," 273,793 "
Repetido,92017672,FONDOS DE DEUDA,"ACTIMED, S.A. DE C.V SOC DE INV EN INSTR DE DEUDA"," 121,411 "
Repetido,92017862,FONDOS DE DEUDA,"ACTIMED, S.A. DE C.V SOC DE INV EN INSTR DE DEUDA"," 4,264 "
