id,ID_CLIENTE,NIVEL,MEJOR_RENDIMIENTO
163,90010315,NIVEL 2,Yes
164,90010315,NIVEL 3,Yes
165,90010372,NIVEL 1,No
166,90010372,NIVEL 2,No
167,90010372,NIVEL 3,Yes
168,90010406,NIVEL 1,Yes
169,90010406,NIVEL 2,Yes
170,90010406,NIVEL 3,Yes
171,90010497,NIVEL 1,Yes
172,90010497,NIVEL 2,Yes
173,90010497,NIVEL 3,Yes
174,90010588,NIVEL 1,Yes
175,90010588,NIVEL 2,Yes
176,90010588,NIVEL 3,Yes
177,90010786,NIVEL 1,Yes
178,90010786,NIVEL 2,Yes
179,90010786,NIVEL 3,Yes
180,90011222,NIVEL 1,Yes
181,90011222,NIVEL 2,Yes
182,90011222,NIVEL 3,Yes
183,90011271,NIVEL 1,Yes
184,90011271,NIVEL 2,Yes
185,90011271,NIVEL 3,Yes
186,90011693,NIVEL 1,No
187,90011693,NIVEL 2,No
188,90011693,NIVEL 3,No
189,90011826,NIVEL 1,Yes
190,90011826,NIVEL 2,Yes
191,90011826,NIVEL 3,Yes
192,90011867,NIVEL 1,No
193,90011867,NIVEL 2,No
194,90011867,NIVEL 3,No
195,90012360,NIVEL 1,Yes
196,90012360,NIVEL 2,Yes
197,90012360,NIVEL 3,Yes
198,90012428,NIVEL 1,Yes
199,90012428,NIVEL 2,Yes
200,90012428,NIVEL 3,Yes
201,90012436,NIVEL 1,Yes
202,90012436,NIVEL 2,Yes
203,90012436,NIVEL 3,Yes
204,90012501,NIVEL 1,No
205,90012501,NIVEL 2,No
206,90012501,NIVEL 3,No
207,90012576,NIVEL 1,No
208,90012576,NIVEL 2,No
209,90012576,NIVEL 3,No
210,90012626,NIVEL 1,Yes
211,90012626,NIVEL 2,Yes
212,90012626,NIVEL 3,Yes
213,90012667,NIVEL 1,No
214,90012667,NIVEL 2,No
215,90012667,NIVEL 3,No
216,90012733,NIVEL 1,No
217,90012733,NIVEL 2,No
218,90012733,NIVEL 3,No
219,90012840,NIVEL 1,No
220,90012840,NIVEL 2,Yes
221,90012840,NIVEL 3,Yes
222,90012865,NIVEL 1,Yes
223,90012865,NIVEL 2,Yes
224,90012865,NIVEL 3,Yes
225,90013160,NIVEL 1,Yes
226,90013160,NIVEL 2,Yes
227,90013160,NIVEL 3,Yes
228,90013244,NIVEL 1,Yes
229,90013244,NIVEL 2,Yes
230,90013244,NIVEL 3,Yes
231,90013384,NIVEL 1,No
232,90013384,NIVEL 2,No
233,90013384,NIVEL 3,No
234,90013582,NIVEL 1,Yes
235,90013582,NIVEL 2,Yes
236,90013582,NIVEL 3,Yes
237,90013731,NIVEL 1,Yes
238,90013731,NIVEL 2,Yes
239,90013731,NIVEL 3,Yes
240,90013772,NIVEL 1,No
241,90013772,NIVEL 2,No
242,90013772,NIVEL 3,No
243,90013855,NIVEL 1,Yes
244,90013855,NIVEL 2,Yes
245,90013855,NIVEL 3,Yes
246,90014473,NIVEL 1,Yes
247,90014473,NIVEL 2,Yes
248,90014473,NIVEL 3,Yes
249,90014572,NIVEL 1,No
250,90014572,NIVEL 2,No
251,90014572,NIVEL 3,No
252,90014598,NIVEL 1,Yes
253,90014598,NIVEL 2,Yes
254,90014598,NIVEL 3,Yes
255,90014770,NIVEL 1,No
256,90014770,NIVEL 2,No
257,90014770,NIVEL 3,No
258,90014788,NIVEL 1,No
259,90014788,NIVEL 2,No
260,90014788,NIVEL 3,No
261,90014804,NIVEL 1,Yes
262,90014804,NIVEL 2,Yes
263,90014804,NIVEL 3,Yes
264,90014838,NIVEL 1,Yes
265,90014838,NIVEL 2,Yes
266,90014838,NIVEL 3,Yes
267,90015074,NIVEL 1,No
268,90015074,NIVEL 2,No
269,90015074,NIVEL 3,No
270,90015124,NIVEL 1,No
271,90015124,NIVEL 2,No
272,90015124,NIVEL 3,No
273,90015165,NIVEL 1,Yes
274,90015165,NIVEL 2,Yes
275,90015165,NIVEL 3,Yes
276,90015173,NIVEL 1,No
277,90015173,NIVEL 2,No
278,90015173,NIVEL 3,No
279,90015256,NIVEL 1,No
280,90015256,NIVEL 2,No
281,90015256,NIVEL 3,No
282,90015728,NIVEL 1,No
283,90015728,NIVEL 2,No
284,90015728,NIVEL 3,No
285,90015736,NIVEL 1,Yes
286,90015736,NIVEL 2,Yes
287,90015736,NIVEL 3,Yes
288,90015934,NIVEL 1,No
289,90015934,NIVEL 2,No
290,90015934,NIVEL 3,No
291,90016114,NIVEL 1,No
292,90016114,NIVEL 2,No
293,90016114,NIVEL 3,No
294,90016122,NIVEL 1,Yes
295,90016122,NIVEL 2,Yes
296,90016122,NIVEL 3,Yes
297,90016171,NIVEL 1,Yes
298,90016171,NIVEL 2,Yes
299,90016171,NIVEL 3,Yes
300,90016262,NIVEL 1,No
301,90016262,NIVEL 2,No
302,90016262,NIVEL 3,No
303,90016650,NIVEL 1,No
304,90016650,NIVEL 2,Yes
305,90016650,NIVEL 3,Yes
306,90016692,NIVEL 1,No
307,90016692,NIVEL 2,No
308,90016692,NIVEL 3,No
309,90016759,NIVEL 1,Yes
310,90016759,NIVEL 2,Yes
311,90016759,NIVEL 3,Yes
312,90017021,NIVEL 1,Yes
313,90017021,NIVEL 2,Yes
314,90017021,NIVEL 3,Yes
315,90017104,NIVEL 1,Yes
316,90017104,NIVEL 2,Yes
317,90017104,NIVEL 3,Yes
318,90017146,NIVEL 1,Yes
319,90017146,NIVEL 2,Yes
320,90017146,NIVEL 3,Yes
321,90017260,NIVEL 1,Yes
322,90017260,NIVEL 2,Yes
323,90017260,NIVEL 3,Yes
324,90017435,NIVEL 1,No
325,90017435,NIVEL 2,No
326,90017435,NIVEL 3,Yes
327,90017682,NIVEL 1,Yes
328,90017682,NIVEL 2,Yes
329,90017682,NIVEL 3,Yes
330,90017849,NIVEL 1,Yes
