Fecha,Emisora,Serie,Precio
20170116,ACTICOB,B-2,27.554378000000003
20170116,ACTIGOB,B-2,3.998305
20170116,ACTIMED,B-2,4.435611
20170116,ACTIREN,B-2,7.5107
20170116,ALTERNA,B-2,3.3602
20170125,ACTICOB,B-2,27.348231
20170125,ACTIGOB,B-2,4.002021
20170125,ACTIMED,B-2,4.4411190000000005
20170125,ACTIREN,B-2,7.515298
20170125,ALTERNA,B-2,3.3658370000000004
20170127,ACTICOB,B-2,27.036423
20170127,ACTIGOB,B-2,4.002744
20170127,ACTIMED,B-2,4.442387999999999
20170127,ACTIREN,B-2,7.516424000000001
20170127,ALTERNA,B-2,3.366525
20170207,ACTICOB,B-2,26.153089
20170207,ACTIGOB,B-2,4.0075769999999995
20170207,ACTIMED,B-2,4.448778
20170207,ACTIREN,B-2,7.521731
20170207,ALTERNA,B-2,3.36999
20170213,ACTICOB,B-2,25.975728
20170213,ACTIGOB,B-2,4.00995
20170213,ACTIMED,B-2,4.452491
20170213,ACTIREN,B-2,7.52425
20170213,ALTERNA,B-2,3.3734290000000002
20170222,ACTICOB,B-2,25.851395999999998
20170222,ACTIGOB,B-2,4.013776999999999
20170222,ACTIMED,B-2,4.457692
20170222,ACTIREN,B-2,7.529195
20170222,ALTERNA,B-2,3.3764760000000003
20170308,ACTICOB,B-2,24.886741
20170308,ACTIGOB,B-2,4.0198849999999995
20170308,ACTIMED,B-2,4.466116
20170308,ACTIREN,B-2,7.537702
20170308,ALTERNA,B-2,3.3830730000000004
20170314,ACTICOB,B-2,24.99284
20170314,ACTIGOB,B-2,4.022549
20170314,ACTIMED,B-2,4.470376
20170314,ACTIREN,B-2,7.5416229999999995
20170314,ALTERNA,B-2,3.386111
20170321,ACTICOB,B-2,24.380445
20170321,ACTIGOB,B-2,4.025608
20170321,ACTIMED,B-2,4.475185
20170321,ACTIREN,B-2,7.545432000000001
20170321,ALTERNA,B-2,3.388787
20170329,ACTICOB,B-2,24.221566
20170329,ACTIGOB,B-2,4.029162
20170329,ACTIMED,B-2,4.481339
20170329,ACTIREN,B-2,7.5501309999999995
20170329,ALTERNA,B-2,3.393217
20170510,ACTICOB,B-2,24.548270000000002
20170510,ACTIGOB,B-2,4.047536
20170510,ACTIMED,B-2,4.51014
20170510,ACTIREN,B-2,7.5758339999999995
20170510,ALTERNA,B-2,3.4116150000000003
20170517,ACTICOB,B-2,23.853799
20170517,ACTIGOB,B-2,4.051189
20170517,ACTIMED,B-2,4.514901
20170517,ACTIREN,B-2,7.580903999999999
20170517,ALTERNA,B-2,3.414175
20170526,ACTICOB,B-2,23.682160999999997
20170526,ACTIGOB,B-2,4.0542169999999995
20170526,ACTIMED,B-2,4.520561
20170526,ACTIREN,B-2,7.584571
20170526,ALTERNA,B-2,3.4155230000000003
20170615,ACTICOB,B-2,23.018813
20170615,ACTIGOB,B-2,4.064373000000001
20170615,ACTIMED,B-2,4.534244
20170615,ACTIREN,B-2,7.599624
20170615,ALTERNA,B-2,3.4262019999999995
20170705,ACTICOB,B-2,23.288659
20170705,ACTIGOB,B-2,4.074736
20170705,ACTIMED,B-2,4.551282
20170705,ACTIREN,B-2,7.617294
20170705,ALTERNA,B-2,3.4387209999999997
20170706,ACTICOB,B-2,23.434673
20170706,ACTIGOB,B-2,4.075158
20170706,ACTIMED,B-2,4.5522160000000005
20170706,ACTIREN,B-2,7.618092999999999
20170706,ALTERNA,B-2,3.4395510000000002
20170710,ACTICOB,B-2,23.183241
20170710,ACTIGOB,B-2,4.077428
20170710,ACTIMED,B-2,4.554545
20170710,ACTIREN,B-2,7.621267
20170710,ALTERNA,B-2,3.4415120000000003
20170725,ACTICOB,B-2,22.692073999999998
20170725,ACTIGOB,B-2,4.085503
20170725,ACTIMED,B-2,4.566892
20170725,ACTIREN,B-2,7.634681
20170725,ALTERNA,B-2,3.4490839999999996
20170814,ACTICOB,B-2,22.876914000000003
20170814,ACTIGOB,B-2,4.0959959999999995
20170814,ACTIMED,B-2,4.583293
20170814,ACTIREN,B-2,7.650962
20170814,ALTERNA,B-2,3.4613980000000004
20170815,ACTICOB,B-2,22.814830999999998
20170815,ACTIGOB,B-2,4.096545
20170815,ACTIMED,B-2,4.584169999999999
20170815,ACTIREN,B-2,7.651816999999999
20170815,ALTERNA,B-2,3.4618620000000004
20170817,ACTICOB,B-2,22.70092
20170817,ACTIGOB,B-2,4.097676
20170817,ACTIMED,B-2,4.5857660000000005
20170817,ACTIREN,B-2,7.654269
20170817,ALTERNA,B-2,3.4627779999999997
20170818,ACTICOB,B-2,22.796277
20170818,ACTIGOB,B-2,4.098305
