Date,Adj Close
20161201,4.409726
20161216,4.418012999999998
20170103,4.429017
20170120,4.438043
20170123,4.439727
20170126,4.44162
20170131,4.444669
20170209,4.450197
20170214,4.453239
20170302,4.462898
20170307,4.465902
20170310,4.4678
20170324,4.478008999999999
20170327,4.479952
20170419,4.494561
20170504,4.505408
20161206,4.4123269999999986
20161214,4.417171
20161223,4.421772
20161226,4.423693
20161228,4.4246620000000005
20170102,4.42804
20170106,4.430429
20170109,4.432286
20170111,4.432804
20170112,4.433433999999999
20170116,4.435611
20170125,4.4411190000000005
20170127,4.4423879999999984
20170207,4.448778
20170213,4.452491
20170222,4.457692
20170308,4.466116
20170314,4.470376
20170321,4.475185
20170329,4.481339
20170510,4.51014
20170517,4.514901
20170526,4.520561
20170615,4.534244
20170705,4.551282
20170706,4.5522160000000005
20170710,4.554545
20170725,4.566892
20170814,4.583293
20170815,4.5841699999999985
20170817,4.5857660000000005
20170818,4.586824
20170830,4.596413
20170912,4.606202
20170918,4.610576
20170919,4.611385
20170925,4.615865
20170616,4.535359
20170704,4.5505309999999985
20170707,4.552816
20170711,4.555182
20170712,4.55572
20170714,4.557794
20170824,4.591394
20170828,4.594556
20170915,4.608759
20170920,4.611998000000002
20171010,4.628204
20171019,4.634195
20171024,4.637917
20171101,4.644086
20171113,4.65295
20171116,4.6553830000000005
20171129,4.664898
20171207,4.670677
20171228,4.685447
20180123,4.705342
20180125,4.707848
20180126,4.708558999999998
20180129,4.710564
20180212,4.72057
20180214,4.722263
20180215,4.723043
20180223,4.730244
20180305,4.738047
20180529,4.807963
20180530,4.808546
20180531,4.809136
20180611,4.817632
20180615,4.819761
20180723,4.85506
20161207,4.411983
20161208,4.412617
20161215,4.41769
20161219,4.419236
20161230,4.426029
20170113,4.4342440000000005
20170201,4.443968
20170203,4.445874
20170210,4.451071
20170227,4.461002
20170303,4.463578
20170306,4.465314
20170405,4.485224
20170412,4.4898620000000005
20170420,4.49599
20170509,4.509531
20170511,4.510738
20170512,4.511593
20170516,4.514267
20170530,4.522995
20170608,4.529331
20170609,4.5300449999999985
20170612,4.532267
20170622,4.539611
20170726,4.567826
20170801,4.572488
20170807,4.57728
20170907,4.60273
20171017,4.633253
20171026,4.639115
20171117,4.656067
20171122,4.659849
20171127,4.663467
20171222,4.680657
20180105,4.692009
20180111,4.696157
20180112,4.696675
20180130,4.711192
20180226,4.732189
20180228,4.733929
20180309,4.741852
20180327,4.756709
20180328,4.757861
20180403,4.762538
20180416,4.773839
20180424,4.779577
20180426,4.781401
20180518,4.798885
20180521,4.801133
20180525,4.804317
20180528,4.807180000000002
20180612,4.818462
20180613,4.81878
20180618,4.82149
20180619,4.823482
20180705,4.838778
20180710,4.843353
20180718,4.850038
20180724,4.856029
20180801,4.863257
20180803,4.865207
20180807,4.869318
20180822,4.881576
20180829,4.88884
20180905,4.892822
20180917,4.9045239999999986
20180918,4.90537
20180925,4.912579
20181005,4.923382
20181017,4.932981
20181022,4.935754
20181029,4.94034
20181101,4.939634
20181106,4.944818
20181107,4.945932
20181211,4.974991
20181226,4.989118
20161209,4.413325
20161220,4.4196620000000015
20170104,4.4294769999999986
20170110,4.432498000000002
20170117,4.436202
20170118,4.436857
20170215,4.453851
20170331,4.482424
20170403,4.484157
20170404,4.484566
20170410,4.489565
20170427,4.499822
20170428,4.5008870000000005
20170502,4.503726
20170503,4.504392
20170505,4.506016000000002
20170518,4.5158190000000005
20170529,4.5223830000000005
20170607,4.528699
20170613,4.5325120000000005
20170623,4.540915
20170626,4.5443989999999985
20170629,4.5467309999999985
20170802,4.573194
20170803,4.574145
20170809,4.578905000000002
20170829,4.595367
20170831,4.5971910000000005
20170901,4.597994
20170930,4.619503
20171003,4.622587
20171004,4.62337
20171012,4.629706
20171013,4.6303730000000005
20171027,4.640062
20171030,4.642484
20171106,4.647872
20171109,4.650032
20171130,4.665663
20171204,4.668657
20171220,4.679624
20171227,4.684289
20180118,4.701443
20180124,4.7065839999999985
20180131,4.711919
20180222,4.72931
20180312,4.7443050000000015
20180322,4.752402
20180418,4.775196
20180427,4.782228
20180502,4.7865470000000006
20180510,4.7929309999999985
20180514,4.796649
20180517,4.797867
20180523,4.802663
20180607,4.8145690000000005
20180630,4.834062
20180702,4.836768
20180703,4.837182
20180725,4.856778
20180802,4.8641190000000005
20180809,4.8711
20180820,4.879159
20180827,4.88685
20180828,4.888758
20180830,4.88932
20180831,4.889953
20180904,4.893827
20180910,4.897946
20180912,4.898438
20180921,4.907783
20181009,4.925242
20181011,4.926636
20181114,4.95067
20181116,4.952838
20181121,4.957103
20181213,4.976886
20181217,4.980887
20181219,4.983114
20181221,4.984925
20190107,5.000508
20190109,5.001941
20190124,5.016093
20190221,5.043126999999999
20190301,5.0505559999999985
20190321,5.068576
20190322,5.0697480000000015
20190412,5.088517
20190510,5.109818
20190514,5.1131129999999985
20190517,5.11587
20190522,5.119932
20190605,5.132235
20190612,5.139606
20190618,5.145673
20190626,5.153463
20190722,5.175567
20190725,5.179121
20190730,5.183216000000002
20190814,5.194209
20190828,5.207722
20190924,5.231382
20190930,5.236865
20191011,5.245404
20191016,5.249519
20191017,5.250111
20161202,4.410174
20161213,4.41535
20161231,4.426029
20170124,4.440282
20170130,4.4443480000000015
20170202,4.445379
20170220,4.456627
20170223,4.458424
20170315,4.470758999999998
20170330,4.481793
20170407,4.487357
20170411,4.489684
20170418,4.494136
20170424,4.498278
20170525,4.519888
20170531,4.523542
20170606,4.527915
20170614,4.5333830000000015
20170619,4.5379580000000015
20170620,4.538704
20170630,4.548306
20170721,4.563661
20170728,4.569596
20170808,4.578079
20170811,4.581073
20170821,4.5890830000000005
20170825,4.592228
20170904,4.600322
20170905,4.601153
20170906,4.601895
20170908,4.603326
20170911,4.605453
20170922,4.613517
20170928,4.618267
20171005,4.624168
20171006,4.625181
20171103,4.645593
20171123,4.6605370000000015
20171128,4.664232
20171205,4.669442
20171208,4.671499
20171213,4.675168
20171221,4.680339
20180103,4.690178
20180104,4.690981
20180219,4.7267769999999985
20180307,4.739701
20180316,4.7474620000000005
20180405,4.764704
20180409,4.767862
20180410,4.768961
20180419,4.776043
20180430,4.78504
20180503,4.787344
20180507,4.790983
20180522,4.801861
20180601,4.8098
20180604,4.81224
20180605,4.812784
20180608,4.815182
20180614,4.819476
20180620,4.825177
20180625,4.829768
20180626,4.830809
20180817,4.876435
20180824,4.883967
20180906,4.894392
20180924,4.911435
20180927,4.915534
20181004,4.923092
20181010,4.925712
20181024,4.936454
20181026,4.937811
20181112,4.950022
20181115,4.95215
20181123,4.959333999999999
20181128,4.962961
20181130,4.965401
20181218,4.982131
20190108,5.001422
20190110,5.002445
20190114,5.006229
20190118,5.0097809999999985
20190121,5.012652
20190123,5.0147309999999985
20190206,5.029275
20190211,5.033389
20190212,5.034408
20190220,5.042097
20190227,5.048983
20190306,5.055572
20190313,5.061389
20190403,5.079901
20190404,5.080457
20190405,5.082095
20190408,5.085178
20190410,5.086802
20190411,5.087627
20190416,5.091181
20190425,5.098044
20190506,5.106751999999998
20190523,5.120679
20190703,5.159857
20190729,5.1820309999999985
20190805,5.18811
20190822,5.202132
20190831,5.209948000000002
20191004,5.240195
20191008,5.243615
20191014,5.247963
20191015,5.248812
20191022,5.253726
