Fecha,Precio
20170606,3.421574
20170614,3.425637
20170619,3.428364
20170620,3.429013
20170630,3.43662
20170721,3.447264
20170728,3.451407
20170808,3.457364
20170811,3.459696
20170821,3.465617
20170825,3.467802
20170904,3.473479
20170905,3.474039
20170906,3.474677
20170908,3.4766480000000004
20170911,3.478003
20170922,3.482647
20170928,3.485335
20171005,3.489351
20171006,3.4897120000000004
20171103,3.501746
20171123,3.515296
20171128,3.517839
20171205,3.521275
20171208,3.522071
20171213,3.5235190000000003
20171221,3.524459
20180103,3.532306
20180104,3.533004
20180206,3.55376
20180219,3.561713
20180307,3.573328
20180405,3.592658
20180409,3.595479
20180410,3.596446
20180419,3.600561
20180425,3.603385
20180430,3.607119
20180503,3.608682
20180507,3.611209
20180522,3.617891
20180601,3.624012000000001
20180604,3.625972
20180605,3.626265
20180608,3.627841000000001
20180614,3.630816
20180620,3.636667
20180625,3.641559
20180626,3.64205
20180817,3.683454
20180824,3.68867
20180924,3.708329
20180927,3.711912
20181004,3.716818
20181024,3.726528
20181025,3.727306
20181026,3.728057
20181112,3.738267
20181115,3.739819
20181123,3.745597
20181128,3.748383
20181130,3.750035
20181218,3.762107
20190108,3.776726
20190110,3.776864
20190114,3.779945
20190118,3.782156
20190121,3.784471
20190123,3.785531
20190131,3.790564
20190206,3.795138
20190211,3.798453
20190220,3.804893
20190227,3.810196
20190306,3.81506
20190313,3.819501
20190403,3.832715
20190405,3.833814
20190408,3.836373000000001
20190410,3.837155
20190411,3.837756
20190416,3.840625
20190425,3.845049
20190506,3.852226
20190523,3.862298000000001
20190703,3.887336
20190729,3.901563
20190805,3.90604
20190822,3.91874
20190831,3.924077
20191004,3.94784
20191008,3.95023
20191014,3.953178
20191015,3.954068
20191022,3.956804
20191030,3.961801
20191119,3.974118
20191121,3.973141000000001
20191218,3.9885
20191220,3.986621
20191231,3.991472
20200102,3.991832
20200106,3.995365
20200107,3.995483
20200114,3.998513
20200115,3.999216000000001
20200124,4.004508
20161205,3.3444510000000003
20161221,3.34922
20161227,3.351393
20170105,3.357196
20170119,3.362682
20170208,3.3701
20170216,3.374629
20170301,3.3801910000000004
20170313,3.385678
20170317,3.387481
20170322,3.38966
20170323,3.390016
20170406,3.396739
20170417,3.401301
20170430,3.405603
20170515,3.413474
20170522,3.413038
20170523,3.413756
20170524,3.4143480000000004
20170601,3.418325
20170713,3.442949
20170719,3.446207
20170810,3.458656
20170823,3.466782
20170914,3.479951
20170921,3.482362
20170926,3.484479
20170927,3.485096
20171025,3.494389
20171108,3.504922
20171110,3.505849
20171121,3.513458
20171206,3.5213620000000003
20171214,3.523655
20171215,3.523559
20180109,3.536752
20180110,3.537179
20180117,3.5421620000000003
20180201,3.550838
20180220,3.562355
20180228,3.568312
20180302,3.570306
20180313,3.578664
20180315,3.579167
20180320,3.582501
20180331,3.587625
20180402,3.590633
20180412,3.5977879999999995
20180510,3.611962
20180515,3.613919
20180516,3.614332
20180627,3.643277
20180628,3.644371
20180716,3.659852
20180717,3.660684
20180720,3.663499
20180810,3.679771
20180821,3.686152
20180913,3.700628
20181001,3.714969
20181008,3.717206
20181018,3.724641000000001
20181109,3.736743
20181113,3.738996
20181122,3.744898000000001
20190115,3.780768
20190122,3.784875
20190213,3.799551
